Datas,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)",PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB),TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C),"TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MEDIA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%)","VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s)","VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)",Unnamed: 11,"tmean, (°C)","rhmean, (%)","U2, (m/s)",lat,"lat, (rad)","elev, (m)","P, (kPa)","J, (day)","ird, (rad)","solardecli, (rad)","sunsethra, (rad)","daylighthr(N), (hour)",kRs,"Ra, (MJ m-2 day-1)","Rs, (MJ m-2 day-1)","Rso, (MJ m-2 day-1)","Rns, (MJ m-2 day-1)","delta_spv, (kPa degC-1)","es, (kPa)","ea, (kPa)","psy, (kPa degC-1)","G, (MJ m-2 day-1)","Rnl, (MJ m-2 day-1)","Rn, (MJ m-2 day-1)","Eto-HS, (mm)","Eto-PM, (mm)","Evap Equi, (mm)","Kp, tanqueCLA","Evap tanqueCLA, (mm)"
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-04,,,,34.9,,,54.133333,32.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-05,0.0,981.2375,20.404167,35.4,28.133333,21.7,66.958333,34.0,6.3,1.191667,,28.55,66.958333,0.891308613892,-12.01527777,-0.209706157628,250.87,98.369497668,339.0,1.02974955558,-0.394532283161,1.65952943858,12.6778710411,0.16,39.9500537773,23.6590681088,30.1629857328,18.2174824438,0.226288030833,4.17207844146,2.79355417586,0.0654157159492,0.0,3.06250235114,15.1549800927,6.43154613714,5.26142374471,16.2996219412,0.768476670305,6.84656274941
2006-12-06,0.0,980.6125,20.579167,36.2,28.375,21.6,67.541667,32.0,4.9,0.741667,,28.9,67.541667,0.554730630067,-12.01527777,-0.209706157628,250.87,98.369497668,340.0,1.02999098203,-0.396329782996,1.65998045189,12.681316529,0.16,39.9554936799,24.4271563178,30.1670929539,18.8089103647,0.23031442616,4.29332705902,2.89978466542,0.0654157159492,0.0,3.09245807059,15.7164522941,6.69048819324,5.28324860216,16.3018414214,0.779317656632,6.77932619285
2006-12-07,0.0,979.979167,22.429167,29.9,25.908333,23.5,81.416667,62.0,6.2,1.4375,,26.7,81.416667,1.07517967055,-12.01527777,-0.209706157628,250.87,98.369497668,341.0,1.03022352151,-0.398009841763,1.6604026282,12.6845417184,0.16,39.9607332901,16.1749675734,30.1710489508,12.4547250315,0.205974154196,3.55715958472,2.89612077375,0.0654157159492,0.0,1.50847018717,10.9462548444,4.2215452244,3.58788673509,16.3039791824,0.790599940431,4.53818239999
2006-12-08,20.6,981.816667,21.558333,26.5,23.008333,21.6,91.75,77.0,11.5,1.645833,,24.05,91.75,1.2310025619,-12.01527777,-0.209706157628,250.87,98.369497668,342.0,1.03044710511,-0.399571961624,1.66079571783,12.687544702,0.16,39.9657936817,14.1548888914,30.1748696345,10.8992644464,0.179563006171,3.02111754242,2.77187534517,0.0654157159492,0.0,1.15916118746,9.74010325894,3.47432101713,2.84326889096,16.3060438222,0.790518259164,3.59671501322
2006-12-09,10.0,981.733333,21.341667,32.9,25.6875,20.5,79.0,49.0,6.8,1.429167,,26.7,79.0,1.06894699424,-12.01527777,-0.209706157628,250.87,98.369497668,343.0,1.03066166658,-0.401015679689,1.66115948681,12.6903236923,0.16,39.9706944971,22.520214331,30.1785698354,17.3405650349,0.205974154196,3.70682138079,2.92838889082,0.0654157159492,0.0,2.62377601636,14.7167890185,5.87760703879,4.74386967418,16.3080433548,0.786558051158,6.03117553396
2006-12-10,0.4,981.016667,21.395833,33.9,27.170833,22.4,72.5,46.0,8.1,1.908333,,28.15,72.5,1.42733971913,-12.01527777,-0.209706157628,250.87,98.369497668,344.0,1.03086714233,-0.402340568154,1.6614937173,12.6928770252,0.16,39.9754539142,21.6901375737,30.1821632781,16.7014059318,0.221758983872,3.99939850472,2.89956391592,0.0654157159492,0.0,2.55207265916,14.1493332726,5.84542158317,4.97646775054,16.309985197,0.764282758905,6.51129139387
2006-12-11,9.4,982.254167,22.7375,28.1,24.920833,22.7,87.875,69.0,11.0,1.45,,25.4,87.875,1.08452905899,-12.01527777,-0.209706157628,250.87,98.369497668,345.0,1.03106347148,-0.403546234425,1.66179820805,12.6952031631,0.16,39.9800886159,14.8648528694,30.1856625586,11.4459367094,0.192636380105,3.28042840051,2.88267645695,0.0654157159492,0.0,1.25523441954,10.1907022899,3.76627804181,3.14010568197,16.3118761553,0.794707401347,3.95127272836
2006-12-12,1.6,982.2375,23.116667,30.3,25.404167,23.3,87.666667,62.0,8.0,1.125,,26.8,87.666667,0.841444959564,-12.01527777,-0.209706157628,250.87,98.369497668,346.0,1.03125059585,-0.404632321238,1.66207277478,12.6973006985,0.16,39.984613762,16.9262950853,30.1890791226,13.0332472157,0.207031530593,3.58872325628,3.14611406663,0.0654157159492,0.0,1.48195877683,11.5512884389,4.42756334213,3.60232840906,16.3137224149,0.801659606591,4.49358852491
2006-12-13,59.4,982.966667,22.2875,26.2,23.620833,21.5,92.333333,78.0,7.5,0.858333,,23.85,92.333333,0.641991090202,-12.01527777,-0.209706157628,250.87,98.369497668,347.0,1.03142846,-0.405598506762,1.66231725059,12.6991683561,0.16,39.9890429634,13.8710686825,30.1924232467,10.6807228855,0.177691382098,2.9829031651,2.7542139125,0.0654157159492,0.0,1.11038813345,9.57033475203,3.38838651231,2.80881410074,16.315529529,0.807363987255,3.47899354576
2006-12-14,1.8,982.308333,22.095833,31.9,25.808333,22.6,81.875,51.0,11.7,0.854167,,27.25,81.875,0.638875126023,-12.01527777,-0.209706157628,250.87,98.369497668,348.0,1.03159701122,-0.406444504694,1.66253148623,12.7008049958,0.16,39.9933882585,19.5141507766,30.1957040201,15.025896098,0.211846401815,3.73507652481,3.05809390469,0.0654157159492,0.0,1.9884428445,13.0374532535,5.15599476844,4.15710607117,16.3173024095,0.803864472628,5.17140166374
2006-12-15,10.8,982.191667,22.7375,31.6,25.504167,22.4,85.458333,59.0,8.7,1.783333,,27.0,85.458333,1.33384583473,-12.01527777,-0.209706157628,250.87,98.369497668,349.0,1.03175619956,-0.407170064348,1.66271535045,12.7022096149,0.16,39.9976600928,19.4110255704,30.1989293293,14.9464896892,0.209159984426,3.67871604241,3.14376940565,0.0654157159492,0.0,1.89365746881,13.0528322204,5.10028579066,4.12146142049,16.3190453178,0.787576941561,5.23309051217
2006-12-16,13.4,982.7125,22.370833,32.1,26.058333,21.0,81.5,52.0,9.4,1.520833,,26.55,81.5,1.1375086775,-12.01527777,-0.209706157628,250.87,98.369497668,350.0,1.03190597785,-0.407774970724,1.66286873025,12.7033813503,0.16,40.0018673001,21.323659394,30.2021058441,16.4192177334,0.204396609116,3.63435778378,2.96200159378,0.0654157159492,0.0,2.36837153408,14.0508461993,5.54655568503,4.47989555338,16.3207618584,0.788960608534,5.67822462226
2006-12-17,0.0,,,32.6,,23.3,89.1875,51.0,11.4,,,27.95,89.1875,,-12.01527777,-0.209706157628,250.87,98.369497668,351.0,1.03204630171,-0.408259044576,1.66299153112,12.7043194799,0.16,40.0060170869,19.5203128167,30.2052390053,15.0306408689,0.219523173396,3.88960120093,3.46903807108,0.0654157159492,0.0,1.67107776495,13.3595631039,5.23776353616,,16.3224549714,,
2006-12-18,,982.691667,21.975,29.0,24.570833,21.7,86.375,63.0,14.7,1.8625,,25.35,86.375,1.3930588775,-12.01527777,-0.209706157628,250.87,98.369497668,352.0,1.03217712956,-0.408622142462,1.66308367722,12.7050234243,0.16,40.0101150187,17.2962204743,30.2083330151,13.3180897652,0.192138276132,3.30082379715,2.85108655479,0.0654157159492,0.0,1.70757811805,11.6105116472,4.37723667248,3.58292059803,16.3241269276,0.785883448538,4.55909919555
2006-12-19,10.0,983.341667,21.895833,28.3,24.4,22.0,86.5,68.0,5.3,1.033333,,25.15,86.5,0.772882528357,-12.01527777,-0.209706157628,250.87,98.369497668,353.0,1.03229842264,-0.408864156788,1.66314511157,12.7054927481,0.16,40.0141650094,16.0695611321,30.2113908286,12.3735620717,0.190156692697,3.2451962823,2.80709478419,0.0654157159492,0.0,1.50783610524,10.8657259665,4.0479505709,3.33575183133,16.3257793238,0.803620492124,4.15090439333
2006-12-20,6.0,983.416667,21.8125,31.9,25.45,20.8,81.833333,55.0,10.1,1.954167,,26.35,81.833333,1.46162130871,-12.01527777,-0.209706157628,250.87,98.369497668,354.0,1.03241014499,-0.408985015841,1.66317579609,12.7057271606,0.16,40.0181693129,21.3323494525,30.2144141474,16.4259090785,0.202309037629,3.59229441322,2.93969424951,0.0654157159492,0.0,2.38373936136,14.0421697171,5.52379323415,4.48540587695,16.3274130797,0.780262638535,5.74858471421
2006-12-21,0.0,982.8125,22.770833,34.3,28.1625,23.0,75.5,42.0,8.1,1.4375,,28.65,75.5,1.07517967055,-12.01527777,-0.209706157628,250.87,98.369497668,355.0,1.03251226352,-0.408984683807,1.66317571179,12.7057265166,0.16,40.0221285175,21.5258042511,30.2174034157,16.5748692733,0.227432350161,4.10909769589,3.10236876039,0.0654157159492,0.0,2.32936080707,14.2455084663,5.86425870777,4.84002539634,16.3290284351,0.780033199364,6.20489666374
2006-12-22,0.6,982.695833,22.995833,35.2,28.7875,24.5,73.666667,38.0,5.7,1.3,,29.85,73.666667,0.972336397718,-12.01527777,-0.209706157628,250.87,98.369497668,356.0,1.03260474797,-0.408863160784,1.66314485871,12.7054908164,0.16,40.0260415424,20.9485763169,30.2203578176,16.130403764,0.241547566383,4.379891422,3.22652002881,0.0654157159492,0.0,2.14745719532,13.9829465687,5.8544410147,4.85728535878,16.3306249493,0.779531663736,6.2310302259
2006-12-23,0.2,,,35.0,,22.5,78.5,36.0,4.8,,,28.75,78.5,,-12.01527777,-0.209706157628,250.87,98.369497668,357.0,1.03268757092,-0.408620482783,1.66308325597,12.7050202061,0.16,40.0299056374,22.6443341812,30.2232752766,17.4361373195,0.228581524844,4.17413442255,3.2766955217,0.0654157159492,0.0,2.33882607862,15.0973112409,6.18225987973,,16.3322015001,,
2006-12-24,,982.104348,22.413043,35.7,28.273913,22.3,73.391304,40.0,5.6,0.991304,,29.0,73.391304,0.741446892618,-12.01527777,-0.209706157628,250.87,98.369497668,358.0,1.03276070784,-0.408256721714,1.66299094172,12.7043149772,0.16,40.0337163848,23.447594236,30.2261524572,18.0546475617,0.231475810292,4.26828381806,3.13254915249,0.0654157159492,0.0,2.63555576567,15.4190917961,6.43594256109,5.17060030683,16.333756285,0.785610604668,6.58163252393
2006-12-25,,,,,,,,82.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-26,,,,,,,73.307692,49.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-27,0.2,983.475,22.770833,33.3,26.483333,23.1,81.625,49.0,11.9,1.416667,,28.2,81.625,1.0595976058,-12.01527777,-0.209706157628,250.87,98.369497668,361.0,1.03292180008,-0.406440197199,1.66253039502,12.7007966596,0.16,40.0447594631,20.4628329029,30.2344901735,15.7563813352,0.222320915729,3.97094424826,3.24128324264,0.0654157159492,0.0,2.00827619954,13.7481051357,5.52066768887,4.49134636782,16.338261861,0.791403508142,5.67516610883
2006-12-28,24.4,984.125,22.2875,34.3,26.445833,21.8,80.041667,46.0,10.3,1.408333,,28.05,80.041667,1.05336418154,-12.01527777,-0.209706157628,250.87,98.369497668,362.0,1.03295600494,-0.405593540014,1.66231599331,12.6991587512,0.16,40.0482795037,22.6547280096,30.2371478654,17.4441405674,0.220638699242,4.01031483778,3.20992284811,0.0654157159492,0.0,2.38670481377,15.0574357536,6.09208857273,4.91258223096,16.3396980375,0.78883836133,6.22761578517
2006-12-29,0.0,983.995833,21.433333,33.2,26.025,20.7,77.708333,48.0,12.4,1.291667,,26.95,77.708333,0.966103721409,-12.01527777,-0.209706157628,250.87,98.369497668,363.0,1.03298044422,-0.40462669671,1.66207135221,12.6972898308,0.16,40.0516993432,22.6566625629,30.2397299037,17.4456301734,0.208626153478,3.76419850643,2.92509591016,0.0654157159492,0.0,2.65242300348,14.79320717,5.94643933543,4.79920656059,16.341093332,0.787190520568,6.09662646488
