Datas,"EVAPORACAO DO PICHE, DIARIA(mm)","INSOLACAO TOTAL, DIARIO(h)","PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MAXIMA, DIARIA(°C)","TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)","TEMPERATURA MINIMA, DIARIA(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA(%)","VENTO, VELOCIDADE MEDIA DIARIA(m/s)",Unnamed: 10,"EVAPREF, DIARIA(mm)"
1961-01-01,,,,,,,,,,,
1961-01-02,,,,,,,,,,,
1961-01-03,,,,,,,,,,,
1961-01-04,,,,,,,,,,,
1961-01-05,,,,,,,,,,,
1961-01-06,,,,,,,,,,,
1961-01-07,,,,,,,,,,,
1961-01-08,,,,,,,,,,,
1961-01-09,,,,,,,,,,,
1961-01-10,,,,,,,,,,,
1961-01-11,,,,,,,,,,,
1961-01-12,,,,,,,,,,,
1961-01-13,,,,,,,,,,,
1961-01-14,,,,,,,,,,,
1961-01-15,,,,,,,,,,,
1961-01-16,,,,,,,,,,,
1961-01-17,,,,,,,,,,,
1961-01-18,,,,,,,,,,,
1961-01-19,,,,,,,,,,,
1961-01-20,,,,,,,,,,,
1961-01-21,,,,,,,,,,,
1961-01-22,,,,,,,,,,,
1961-01-23,,,,,,,,,,,
1961-01-24,,,,,,,,,,,
1961-01-25,,,,,,,,,,,
1961-01-26,,,,,,,,,,,
1961-01-27,,,,,,,,,,,
1961-01-28,,,,,,,,,,,
1961-01-29,,,,,,,,,,,
1961-01-30,,,,,,,,,,,
1961-01-31,,,,,,,,,,,
1961-02-01,,,,,,,,,,,
1961-02-02,,,,,,,,,,,
1961-02-03,,,,,,,,,,,
1961-02-04,,,,,,,,,,,
1961-02-05,,,,,,,,,,,
1961-02-06,,,,,,,,,,,
1961-02-07,,,,,,,,,,,
1961-02-08,,,,,,,,,,,
1961-02-09,,,,,,,,,,,
1961-02-10,,,,,,,,,,,
1961-02-11,,,,,,,,,,,
1961-02-12,,,,,,,,,,,
1961-02-13,,,,,,,,,,,
1961-02-14,,,,,,,,,,,
1961-02-15,,,,,,,,,,,
1961-02-16,,,,,,,,,,,
1961-02-17,,,,,,,,,,,
1961-02-18,,,,,,,,,,,
1961-02-19,,,,,,,,,,,
1961-02-20,,,,,,,,,,,
1961-02-21,,,,,,,,,,,
1961-02-22,,,,,,,,,,,
1961-02-23,,,,,,,,,,,
1961-02-24,,,,,,,,,,,
1961-02-25,,,,,,,,,,,
1961-02-26,,,,,,,,,,,
1961-02-27,,,,,,,,,,,
1961-02-28,,,,,,,,,,,
1961-03-01,,,,,,,,,,,
1961-03-02,,,,,,,,,,,
1961-03-03,,,,,,,,,,,
1961-03-04,,,,,,,,,,,
1961-03-05,,,,,,,,,,,
1961-03-06,,,,,,,,,,,
1961-03-07,,,,,,,,,,,
1961-03-08,,,,,,,,,,,
1961-03-09,,,,,,,,,,,
1961-03-10,,,,,,,,,,,
1961-03-11,,,,,,,,,,,
1961-03-12,,,,,,,,,,,
1961-03-13,,,,,,,,,,,
1961-03-14,,,,,,,,,,,
1961-03-15,,,,,,,,,,,
1961-03-16,,,,,,,,,,,
1961-03-17,,,,,,,,,,,
1961-03-18,,,,,,,,,,,
1961-03-19,,,,,,,,,,,
1961-03-20,,,,,,,,,,,
1961-03-21,,,,,,,,,,,
1961-03-22,,,,,,,,,,,
1961-03-23,,,,,,,,,,,
1961-03-24,,,,,,,,,,,
1961-03-25,,,,,,,,,,,
1961-03-26,,,,,,,,,,,
1961-03-27,,,,,,,,,,,
1961-03-28,,,,,,,,,,,
1961-03-29,,,,,,,,,,,
1961-03-30,,,,,,,,,,,
1961-03-31,,,,,,,,,,,
1961-04-01,,,,,,,,,,,
1961-04-02,0.4,,,29.4,23.94,20.7,81.75,62.0,3.0,,4.07789256226
1961-04-03,2.4,,0.0,30.9,24.6,21.2,78.0,57.0,2.666667,,4.45896866672
1961-04-04,3.7,,0.0,31.0,24.7,20.1,74.5,56.0,2.333333,,4.63779334587
1961-04-05,4.1,,0.0,30.9,24.58,21.1,76.75,62.0,2.333333,,4.43245539828
1961-04-06,4.0,,0.0,30.2,23.88,20.1,79.75,63.0,1.0,,4.14499580252
1961-04-07,2.9,,0.0,29.4,23.58,20.5,79.25,68.0,2.333333,,4.05609659475
1961-04-08,3.0,,,31.0,24.36,20.1,76.75,56.0,3.0,,4.60217911134
1961-04-09,3.8,,0.0,31.6,24.24,19.9,86.25,81.0,1.666667,,4.39400092621
1961-04-10,2.5,,9.8,30.2,23.46,19.9,79.0,61.0,0.666667,,4.06253611567
1961-04-11,3.3,,0.0,30.9,23.78,19.9,80.0,65.0,2.666667,,4.40034669636
1961-04-12,3.7,,0.0,29.3,23.5,20.5,82.5,70.0,3.666667,,3.94934572944
1961-04-13,2.9,,0.0,29.6,23.78,18.9,80.75,71.0,2.666667,,4.15461017575
1961-04-14,3.2,,1.0,31.4,24.64,20.9,82.5,75.0,3.0,,4.30430370073
1961-04-15,2.9,,0.0,28.6,23.76,20.7,77.0,66.0,2.333333,,3.80366330296
1961-04-16,2.9,,0.0,28.5,22.88,19.5,80.25,65.0,2.333333,,3.80605353011
1961-04-17,2.8,,0.0,28.2,23.22,20.5,80.0,64.0,1.666667,,3.5473950208
1961-04-18,2.4,,0.5,28.6,23.48,19.5,80.5,71.0,3.666667,,3.9036541106
1961-04-19,2.4,,0.0,30.4,24.66,20.4,76.25,59.0,1.0,,3.95156091969
1961-04-20,3.4,,0.0,32.0,24.66,20.6,79.0,56.0,3.0,,4.49599433041
1961-04-21,3.6,,0.4,30.0,24.6,21.3,75.75,61.0,3.0,,4.10634010219
1961-04-22,4.4,,0.0,30.0,23.9,20.5,81.25,62.0,2.0,,3.87036536075
1961-04-23,3.3,,0.0,31.4,23.96,19.9,78.5,59.0,2.0,,4.27026627014
1961-04-24,3.7,,0.0,30.4,24.16,20.9,76.0,63.0,3.333333,,4.22905988668
1961-04-25,4.1,,0.0,28.8,22.98,19.1,83.25,69.0,2.333333,,3.68568963917
1961-04-26,2.4,,4.5,28.9,23.8,20.5,79.25,67.0,2.333333,,3.66667483861
1961-04-27,3.0,,0.0,33.1,25.62,20.9,74.0,52.0,1.666667,,4.49269421239
1961-04-28,3.9,,0.0,31.8,25.2,21.9,77.5,56.0,1.0,,3.91981311007
1961-04-29,2.7,,0.0,30.8,24.66,21.7,77.25,58.0,2.333333,,3.9543802132
1961-04-30,3.8,,0.0,31.9,24.26,20.1,71.0,49.0,2.333333,,4.4793179845
1961-05-01,4.2,,0.0,30.6,23.76,19.5,73.0,56.0,3.333333,,4.39806535483
